primary_key,address,neighborhood
250,"R FERNANDO GUSMAO, N. 4",AMEIXOEIRA
251,"R RIO TUA, LT. 3",PADRE CRUZ
252,"R PROF ARSENIO NUNES, LT. 62",PADRE CRUZ
253,"R BENTO GONCALVES, SN",ARMADOR
254,"R ANTONIO VILAR, LT. 17",AMEIXOEIRA
255,"R COSTA MALHEIRO, LT. A01",ALFREDO BENSAUDE
256,"R COSTA MALHEIRO, LT. A04",ALFREDO BENSAUDE
257,"R JOSE INACIO ANDRADE, N. 14",QUINTA LAVRADO
258,"R FERNANDA ALVES, LT. 2",AMEIXOEIRA
259,"R COSTA MALHEIRO, LT. A08",ALFREDO BENSAUDE
260,"R COSTA MALHEIRO, LT. B08",ALFREDO BENSAUDE
261,"AV GLICINIA QUARTIN, N. 9",AMEIXOEIRA
262,"R COSTA MALHEIRO, LT. B03",ALFREDO BENSAUDE
263,"R FERNANDA ALVES, LT. 8",AMEIXOEIRA
264,"R FERNANDA ALVES, LT. 9",AMEIXOEIRA
265,"R COSTA MALHEIRO, LT. B09",ALFREDO BENSAUDE
266,"R COSTA MALHEIRO, LT. B10",ALFREDO BENSAUDE
267,"R JOSE VIANA, LT. 20 B",AMEIXOEIRA
268,"PC ANTONIO BAIAO, N. 8",SARGENTO ABILIO
269,"R ALBERTO JOSE PESSOA, LT. G6",MARQUES ABRANTES
270,"R ALBERTO JOSE PESSOA, LT. G8",MARQUES ABRANTES
271,"R ALBERTO SOUSA, N. 1",REGO
272,"R ALBERTO SOUSA, N. 3",REGO
273,"R JOSE FELICIDADE ALVES, N. 10",BELA FLOR
274,"R PORTUGAL DURAO, N. 54",REGO
275,"R FRANCISCO SANTOS, LT. 41",FURNAS
276,"R FRANCISCO SANTOS, LT. 40",FURNAS
277,"R ALBERTO JOSE PESSOA, LT. H1",MARQUES ABRANTES
278,"R ALBERTO JOSE PESSOA, LT. H4",MARQUES ABRANTES
279,"AV FORCAS ARMADAS, N. 115",REGO
280,"ESTRADA CIRCUNVALACAO, LT. C13",ALFREDO BENSAUDE
281,"AV FORCAS ARMADAS, N. 121",REGO
282,"AV FORCAS ARMADAS, N. 123",REGO
283,"AV FORCAS ARMADAS, N. 113",REGO
284,"AV CEUTA NORTE - QTA LOUREIRO, LT. 11",VALE ALCANTARA
285,"R ALBERTO JOSE PESSOA, LT. H6",MARQUES ABRANTES
286,"PC LARANJO COELHO, N. 3",SARGENTO ABILIO
287,"R ANTONIO GEDEAO, LT. A5",ALFINETES
288,"R ANTONIO VILAR, LT. 15",AMEIXOEIRA
289,"AV CEUTA SUL, LT. 2",VALE ALCANTARA
